2026-08-23	can1357	test(e2e): added performance recording API and harness support for CLI tests
2026-08-23	can1357	feat(ui): added thinking toggle, session management, and AutoQA workflow
2026-08-23	can1357	feat(env): added streaming search API and expanded registry metadata
2026-08-23	can1357	refactor(tui): added /model and /switch to trigger OpenModelPicker
2026-08-23	can1357	refactor(serve): added fallback schema support to tool definitions
2026-08-23	can1357	refactor(sdk): added schema fallback to tool definitions via OpaqueJson
2026-08-23	can1357	refactor(proto): added fallback_schema_json to ToolDef, verified round-trip
2026-08-23	can1357	feat(inference): added candle-transformers backend and schema validation
2026-08-23	can1357	fix(envd): added authentication handling and workspace enhancements
2026-08-23	can1357	refactor(tool): added schema support and parity tests for tool input
2026-08-23	can1357	refactor(driver): implemented multi-advisor engine subagents and handoff
2026-08-23	can1357	refactor(core): added optional schemars support for Str with feature flag
2026-08-23	can1357	refactor(agent): added thinking mode override and enabled schemars support
2026-08-23	can1357	feat(core): added schemars integration across core and tools
2026-08-23	can1357	chore(build): configured env to use Ninja and isolate rust-analyzer
2026-08-23	can1357	chore(deps): updated dependencies and dev profile to reduce build size
2026-08-23	can1357	feat(chat): enabled optional model switch arguments with picker UI
2026-08-23	can1357	feat(settings): added terminal resize scrollback configuration
2026-08-23	can1357	feat(tui): added history reset and editor pane tracking to TUI
2026-08-23	can1357	feat(env): implemented graceful degradation for secondary ExecHost when locked
2026-08-23	can1357	feat(ui): implemented chat UI upgrades, adding transcript replay
2026-08-23	can1357	feat(tui): restructured UI rendering and state to drop legacy history
2026-08-23	can1357	chore: alias
2026-08-22	can1357	feat: added unified tool input schema and migrated CI to cargo-nextest
2026-08-22	can1357	build: added custom Cargo build profiles and disabled metadata embedding
2026-08-22	can1357	feat(test): added golden snapshots for subagent prompt verification
2026-08-22	can1357	feat(app): restructured EnvServer to use PromptFacts and RegistryBridges
2026-08-22	can1357	feat(deps): added omp-executor and omp-serve to e2e crate dependencies
2026-08-22	can1357	docs(ui): added speech operation support and UI state handling
2026-08-22	can1357	feat(py): implemented Python control, telemetry, and scheduling contracts
2026-08-22	can1357	feat(agent): added unified prompt and workspace property handling
2026-08-22	can1357	feat(api): added prompt engine, scheduler, and provider auth catalog
2026-08-22	can1357	build(chat-ui): added omp-executor to chat-ui dependencies
2026-08-22	can1357	refactor(telemetry): added durable telemetry rows with JSON serialization
2026-08-22	can1357	build(ext): added tempfile as a development dependency for ext
2026-08-22	can1357	build(env): updated env crate dev-dependencies with tempfile
2026-08-22	can1357	refactor(repo): updated dependencies, adding Python introspection crates
2026-08-22	can1357	chore(deps): restructured runtime to replace tokio with executor
2026-08-22	can1357	refactor(scribe): implemented templates, async support, fixed setting
2026-08-22	can1357	fix(rpc): implemented flume UDS streaming with executor timers
2026-08-22	can1357	feat(desktop): restructured linux connection lifecycle actor thread
2026-08-22	can1357	feat(core): added OMP executor with scheduler, bridge, and signals
2026-08-22	can1357	feat(tools/lintx): added lintx with path, struct, and auto-fix linting
2026-08-22	can1357	refactor(hashline): added telemetry authority and cleaned line handling
2026-08-22	can1357	refactor(serve): added serve crate with gRPC transport and migrated RPCs
2026-08-22	can1357	refactor(oauth): documented licensing and usage details for oauth crate
2026-08-22	can1357	feat(memory): organized MIT licensing for memory crate
2026-08-22	can1357	refactor(collab): renamed LICENSE file to match crate location
2026-08-22	can1357	refactor(ext): added ext crate with CLI enums and simplified resolver
2026-08-22	can1357	refactor(envd): added exthost module and expanded bridge for process control
2026-08-22	can1357	refactor(env): added unified env and scribe APIs with Unix error handling
2026-08-22	can1357	feat(driver): added unified driver modules and envd evaluation paths
2026-08-22	can1357	refactor(tui): reformatted TUI code for aligned structs and line length
2026-08-22	can1357	refactor(storage): added session lineage and telemetry consent features
2026-08-22	can1357	refactor(settings): added settings crate with layer normalizer and imports
2026-08-22	can1357	refactor(secrets): added secret masking authority with rule limit
2026-08-22	can1357	refactor(docserver): reformatted dap config comments and test assertions
2026-08-22	can1357	refactor(core): added core dirs, tracing, expanded OMP bindings, removed exthost
2026-08-22	can1357	ux(chat-ui): added new auth control structs and updated schema version to v3
2026-08-22	can1357	refactor(catalog): implemented crate rename and updated catalog data
2026-08-22	can1357	feat(app): added unified CLI authentication flow and endpoints
2026-08-22	can1357	refactor(agent): added host control API and reorganized agent crate imports
2026-08-22	can1357	test: updated test suites with imports, envd refs, and contract tests
2026-08-22	can1357	refactor(settings): configured settings crate with new deps and license
2026-08-22	can1357	feat(secrets): documented MIT license file for secrets crate
2026-08-22	can1357	refactor(sdk): renamed SDK crate components and added MIT license
2026-08-22	can1357	refactor(shell-builtins): reformatted flush error handling to multiline
2026-08-22	can1357	style: reorganized snapcompact crate layout and documentation
2026-08-22	can1357	deps: bumped dependency versions, added omp crates, and synced manifests
2026-08-22	can1357	refactor(proto): added process and workspace snapshot extensions to proto
2026-08-22	can1357	docs(docs): documented renames, added prelude scribe docs, fixed formatting
2026-08-22	can1357	docs(llm-inference): clarified crate documentation by deleting README
2026-08-22	can1357	refactor(desktop): documented desktop crate with README and aligned license
2026-08-22	can1357	docs: expanded docs with philosophy, clarified agents, and updated README
2026-08-22	can1357	feat(app): added headless render command for transcript replay with metrics
2026-08-22	can1357	feat(llm): added dynamic catalog normalization and auth/transport upgrades
2026-08-22	can1357	feat(app): added manual session compaction, retry handling, and pin store
2026-08-22	can1357	refactor(omp-snapcompact): implemented dataurl elision and scanner optimization
2026-08-22	can1357	refactor(hashline): added fuzzy matching and multi-line edit support
2026-08-22	can1357	refactor(docserver): added support for pre-attached debug adapters
2026-08-22	can1357	build(repo): added image crate to dependencies
2026-08-22	can1357	chore(deps): added runtime checks, dispatch updates, and session handling
2026-08-22	can1357	refactor(tools): added dynamic editing support and tooling enhancements
2026-08-22	can1357	refactor(gui): enabled physical ctrl key handling for paste commands
2026-08-22	can1357	refactor(chat-ui): added history rewind, pin icons and resize scrollback
2026-08-22	can1357	refactor(app): added skill completion, resizeScrollback, /pin, title tweaks
2026-08-22	can1357	refactor(tui): added scrollback resize mode, PNG prep, and UI visual tweaks
2026-08-22	can1357	fix(shell): added broken pipe handling to grep and rg builtins, exit 141
2026-08-22	can1357	feat(discovery): added manual credential cache hydration with replacement
2026-08-22	can1357	feat(chat-ui): added persistent slash-command usage tracking with UI icons
2026-08-22	can1357	feat(agent): enabled handoff documents and continuity support for agents
2026-08-22	can1357	refactor(gui): enabled multiplexing config and background scene polling
2026-08-22	can1357	refactor(env): added invocation grant and lease controls to env client
2026-08-22	can1357	test(e2e): aligned field initialization in p5_prefix_stability test
2026-08-22	can1357	refactor(collab): implemented guest replica pump with recovery support
2026-08-22	can1357	refactor(chat-ui): added retained chat sidebar toggle and dialog polling
2026-08-22	can1357	feat(app): added authentication, process control, and collaborative sessions
2026-08-22	can1357	feat(shell): addressed SIGPIPE termination in child pipe writes
2026-08-22	can1357	build(deps): added testing and runtime dependencies with binary config
2026-08-22	can1357	feat(tools): added debug and tool-runner enhancements
2026-08-22	can1357	feat(storage): implemented maintenance for session lineage rekeying
2026-08-22	can1357	feat(auth): added auth features: credential probing, API key override
2026-08-22	can1357	feat(docs): documented campaign architecture and updated examples
2026-08-22	can1357	feat(py): added python campaign API with lifecycle decorator
2026-08-22	can1357	refactor(tools): added preview registry and staging for async tool proposals
2026-08-22	can1357	refactor(oauth): corrected missing Accept header in OAuth POST requests
2026-08-22	can1357	test(e2e): added watchdog init and switched to arbiter outcome
2026-08-22	can1357	refactor(chat-ui): added title toggle and campaign slot status display
2026-08-22	can1357	feat(app): introduced unified campaign system with mode persistence
2026-08-22	can1357	chore(fixtures): added new search providers, migrated auth, updated census
2026-08-22	can1357	refactor(llm-inference): added basic auth, extraction, and router support
2026-08-22	can1357	refactor(llm-catalog): added authentication, extraction operation, and providers to catalog
2026-08-22	can1357	refactor(app): implemented unified autoresearch campaign management
2026-08-22	can1357	build(repo): added proptest to project dependencies
2026-08-22	can1357	feat(agent): introduced campaign engine with arbiter, journal, failover
2026-08-22	can1357	feat(core): added campaign runtime models and lifecycle hooks
2026-08-22	can1357	feat(proto): added campaign declaration with lifecycle protocols
2026-08-22	can1357	refactor(voice): restructured voice error implementation formatting
